# Wall shear stress
# Time          	patch           	min             	max             
0.528           	bottom	(-3.05553287e-01 -1.27717973e-08 -2.69162810e-07)	(-3.03723402e-01 1.35961019e-08 4.44966636e-07)
0.8736          	bottom	(-3.04507464e-01 -1.37104923e-08 -2.92451166e-07)	(-3.01618894e-01 1.34360219e-08 5.11774750e-07)
1.785984        	bottom	(-3.01702539e-01 -1.34097073e-08 -3.16618655e-07)	(-2.96162861e-01 1.51964875e-08 5.67703282e-07)
2.285984        	bottom	(-3.00176507e-01 -1.23378976e-08 -3.18947123e-07)	(-2.93227330e-01 1.31425009e-08 5.75538224e-07)
2.785984        	bottom	(-2.98663912e-01 -1.05246410e-08 -3.17864428e-07)	(-2.90331326e-01 1.27358744e-08 5.55008643e-07)
3.285984        	bottom	(-2.97164404e-01 -1.10202130e-08 -3.66377627e-07)	(-2.87475913e-01 1.26079538e-08 5.05299683e-07)
3.785984        	bottom	(-2.95677264e-01 -1.00479430e-08 -3.94231454e-07)	(-2.84661721e-01 1.09399996e-08 4.94505551e-07)
4.285984        	bottom	(-2.94201878e-01 -9.09024301e-09 -4.03642731e-07)	(-2.81888903e-01 1.08572598e-08 4.70742459e-07)
4.785984        	bottom	(-2.92737849e-01 -9.13935367e-09 -3.98682124e-07)	(-2.79157252e-01 1.06147988e-08 4.23818637e-07)
5.285984        	bottom	(-2.91285134e-01 -8.10335530e-09 -3.83793125e-07)	(-2.76466343e-01 9.24488508e-09 3.80953160e-07)
5.785984        	bottom	(-2.89843454e-01 -8.31872261e-09 -3.77484191e-07)	(-2.73815624e-01 9.97184301e-09 3.93923855e-07)
6.285984        	bottom	(-2.88412670e-01 -8.30139651e-09 -3.84769961e-07)	(-2.71204480e-01 9.58526875e-09 3.86839512e-07)
6.785984        	bottom	(-2.86992672e-01 -7.55545425e-09 -3.79197636e-07)	(-2.68632273e-01 8.84405002e-09 3.90501869e-07)
7.285984        	bottom	(-2.85583391e-01 -7.73194291e-09 -3.63705136e-07)	(-2.66098327e-01 9.22261603e-09 4.03494443e-07)
7.785984        	bottom	(-2.84184853e-01 -7.84275766e-09 -3.41741560e-07)	(-2.63601865e-01 8.67295474e-09 3.97738328e-07)
8.285984        	bottom	(-2.82796866e-01 -7.27967952e-09 -3.16826588e-07)	(-2.61142466e-01 8.22146914e-09 4.04287233e-07)
8.785984        	bottom	(-2.81419329e-01 -7.17953698e-09 -3.19401962e-07)	(-2.58719504e-01 8.34864288e-09 4.17925714e-07)
9.285984        	bottom	(-2.80052138e-01 -7.33691181e-09 -3.44092120e-07)	(-2.56332365e-01 7.68555149e-09 4.14172936e-07)
9.785984        	bottom	(-2.78695239e-01 -6.75641801e-09 -3.63564178e-07)	(-2.53980455e-01 7.54053202e-09 4.17009034e-07)
10.285984       	bottom	(-2.77348589e-01 -6.16471121e-09 -4.12786736e-07)	(-2.51663198e-01 7.52672860e-09 4.30108751e-07)
10.785984       	bottom	(-2.76012040e-01 -6.22288499e-09 -4.45010495e-07)	(-2.49380028e-01 6.81204655e-09 4.26605043e-07)
11.285984       	bottom	(-2.74685492e-01 -5.74875156e-09 -4.60490552e-07)	(-2.47130401e-01 6.92891205e-09 4.27481221e-07)
11.785984       	bottom	(-2.73368846e-01 -5.56670170e-09 -4.61650657e-07)	(-2.44913785e-01 6.82476700e-09 4.39410423e-07)
12.285984       	bottom	(-2.72062064e-01 -5.42534612e-09 -4.59813283e-07)	(-2.42729666e-01 6.09543010e-09 4.42303230e-07)
12.785984       	bottom	(-2.70765047e-01 -5.15270823e-09 -4.64959574e-07)	(-2.40577511e-01 6.38914450e-09 4.60569973e-07)
13.285984       	bottom	(-2.69477707e-01 -5.07524963e-09 -4.66186691e-07)	(-2.38456841e-01 6.25022072e-09 4.67249165e-07)
13.785984       	bottom	(-2.68199939e-01 -4.87418302e-09 -4.65863033e-07)	(-2.36367220e-01 5.67459060e-09 4.73418914e-07)
14.285984       	bottom	(-2.66931671e-01 -4.74572972e-09 -4.66582308e-07)	(-2.34308191e-01 5.95510618e-09 4.97792033e-07)
14.785984       	bottom	(-2.65672832e-01 -4.64791632e-09 -4.70302601e-07)	(-2.32279311e-01 5.75791289e-09 5.12084314e-07)
15.285984       	bottom	(-2.64423334e-01 -4.39957473e-09 -4.78533960e-07)	(-2.30280143e-01 5.35583900e-09 5.16809852e-07)
15.785984       	bottom	(-2.63183099e-01 -4.39381635e-09 -4.91691730e-07)	(-2.28310262e-01 5.57638435e-09 5.44823360e-07)
16.285984       	bottom	(-2.61952050e-01 -4.36388856e-09 -5.10354542e-07)	(-2.26369249e-01 5.43539196e-09 5.68512198e-07)
16.785984       	bottom	(-2.60730111e-01 -4.10735429e-09 -5.34702521e-07)	(-2.24456686e-01 5.05900061e-09 5.84242675e-07)
17.285984       	bottom	(-2.59517208e-01 -4.08526195e-09 -5.65249897e-07)	(-2.22572159e-01 5.24119555e-09 5.98801228e-07)
17.785984       	bottom	(-2.58313267e-01 -4.15957971e-09 -6.02152075e-07)	(-2.20715252e-01 5.16022418e-09 6.32835274e-07)
18.285984       	bottom	(-2.57118218e-01 -3.89457772e-09 -6.45704441e-07)	(-2.18885544e-01 4.79168568e-09 6.60579511e-07)
18.785984       	bottom	(-2.55931991e-01 -3.87059788e-09 -6.96251100e-07)	(-2.17082605e-01 4.97506179e-09 6.83351491e-07)
19.285984       	bottom	(-2.54754516e-01 -3.88690069e-09 -7.54263335e-07)	(-2.15305990e-01 4.77065859e-09 7.15656895e-07)
19.785984       	bottom	(-2.53585726e-01 -3.77048502e-09 -8.20343797e-07)	(-2.13555238e-01 4.51769898e-09 7.58298607e-07)
20.285984       	bottom	(-2.52425556e-01 -3.64208894e-09 -8.95155048e-07)	(-2.11829863e-01 4.64157131e-09 7.97705567e-07)
